merchant_name,normalized_category
Diarco,Supermercados
Supermercados La Reina,Supermercados
Coto,Supermercados
Hiperchangomas,Supermercados
Disco,Supermercados
Supermercados Kilbel,Supermercados
Supermercados La Anonima,Supermercados
Supermercados Dia,Supermercados
Supermercados La Gallega,Supermercados
Supermercados Toledo,Supermercados
Supermercados Vea,Supermercados
Changomas,Supermercados
Supercoop,Supermercados
Supermercados El Tunel,Supermercados
Jumbo,Supermercados
